Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Variant Inventory Tracker,Variant Inventory Policy,Variant Inventory Qty,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,product.metafields.color_flex.base_url,product.metafields.color_flex.collection,product.metafields.color_flex.pattern,product.metafields.color_flex.layer_count,product.metafields.color_flex.layer_labels,product.metafields.color_flex.pattern_size,product.metafields.color_flex.tiling_type,product.metafields.color_flex.designer_colors
botanicals-clo-1-key-largo,Key Largo,<p>Key Largo clothing pattern from Botanicals (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Botanicals (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,botanicals-clo-1-key-largo,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/botanicals_clo1/thumbnails/key-largo.jpg,1,Key Largo clothing pattern thumbnail,Key Largo - Botanicals (CLO-1) Clothing | ColorFlex,Key Largo clothing pattern from Botanicals (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,botanicals.clo-1,key-largo,6,"./data/collections/botanicals/layers/key-largo_back-leaf_layer-1.jpg,./data/collections/botanicals/layers/key-largo_left-leaves_layer-2.jpg,./data/collections/botanicals/layers/key-largo_right-leaves_layer-3.jpg,./data/collections/botanicals/layers/key-largo_outer-leaves_layer-4.jpg,./data/collections/botanicals/layers/key-largo_right-most_layer-5.jpg,./data/collections/botanicals/layers/key-largo_front-leaf_layer-6.jpg",24x24,half-drop,"SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR"
botanicals-clo-1-shadow-dance,Shadow Dance,<p>Shadow Dance clothing pattern from Botanicals (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Botanicals (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,botanicals-clo-1-shadow-dance,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/botanicals_clo1/thumbnails/shadow-dance.jpg,1,Shadow Dance clothing pattern thumbnail,Shadow Dance - Botanicals (CLO-1) Clothing | ColorFlex,Shadow Dance clothing pattern from Botanicals (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,botanicals.clo-1,shadow-dance,2,"./data/collections/botanicals/layers/shadow-dance_shadow_layer-1.jpg,./data/collections/botanicals/layers/shadow-dance_flower_layer-2.jpg",24x24,straight,"SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR"
botanicals-clo-1-tall-lilly-plant,Tall Lilly Plant,<p>Tall Lilly Plant clothing pattern from Botanicals (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Botanicals (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,botanicals-clo-1-tall-lilly-plant,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/botanicals_clo1/thumbnails/tall-lilly-plant.jpg,1,Tall Lilly Plant clothing pattern thumbnail,Tall Lilly Plant - Botanicals (CLO-1) Clothing | ColorFlex,Tall Lilly Plant clothing pattern from Botanicals (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,botanicals.clo-1,tall-lilly-plant,4,"./data/collections/botanicals/layers/tall-lilly-plant_texture_layer-1.jpg,./data/collections/botanicals/layers/tall-lilly-plant_plants_layer-2.jpg,./data/collections/botanicals/layers/tall-lilly-plant_flowers_layer-3.jpg,./data/collections/botanicals/layers/tall-lilly-plant_flower-centers_layer-4.jpg",24x24,straight,"SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR"
botanicals-clo-1-flowering-fern,Flowering Fern,<p>Flowering Fern clothing pattern from Botanicals (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Botanicals (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,botanicals-clo-1-flowering-fern,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/botanicals_clo1/thumbnails/flowering-fern.jpg,1,Flowering Fern clothing pattern thumbnail,Flowering Fern - Botanicals (CLO-1) Clothing | ColorFlex,Flowering Fern clothing pattern from Botanicals (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,botanicals.clo-1,flowering-fern,3,"./data/collections/botanicals/layers/flowering-fern_flowers_layer-1.jpg,./data/collections/botanicals/layers/flowering-fern_fiddleheads_layer-2.jpg,./data/collections/botanicals/layers/flowering-fern_ferns_layer-3.jpg",24x24,straight,"SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR"
bombay-clo-1-andheri-star-flower,Andheri Star Flower,<p>Andheri Star Flower clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-andheri-star-flower,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/andheri-star-flower.jpg,1,Andheri Star Flower clothing pattern thumbnail,Andheri Star Flower - Bombay (CLO-1) Clothing | ColorFlex,Andheri Star Flower clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,andheri-star-flower,1,./data/collections/bombay/layers/andheri-star-flower_star-flower_layer-1.jpg,24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-bombay-ticking,Bombay Ticking,<p>Bombay Ticking clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-bombay-ticking,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/bombay-ticking.jpg,1,Bombay Ticking clothing pattern thumbnail,Bombay Ticking - Bombay (CLO-1) Clothing | ColorFlex,Bombay Ticking clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,bombay-ticking,1,./data/collections/bombay/layers/bombay-ticking_stripes_layer-1.jpg,24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-delhi-large,Delhi Large,<p>Delhi Large clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-delhi-large,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/delhi-large.jpg,1,Delhi Large clothing pattern thumbnail,Delhi Large - Bombay (CLO-1) Clothing | ColorFlex,Delhi Large clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,delhi-large,2,"./data/collections/bombay/layers/delhi-large_tiny-flower_layer-1.jpg,./data/collections/bombay/layers/delhi-large_floral_layer-2.jpg",24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-delhi-mini,Delhi Mini,<p>Delhi Mini clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-delhi-mini,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/delhi-mini.jpg,1,Delhi Mini clothing pattern thumbnail,Delhi Mini - Bombay (CLO-1) Clothing | ColorFlex,Delhi Mini clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,delhi-mini,1,./data/collections/bombay/layers/delhi-mini_design_layer-1.jpg,24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-tree-of-life,Tree Of Life,<p>Tree Of Life clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-tree-of-life,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/tree-of-life.jpg,1,Tree Of Life clothing pattern thumbnail,Tree Of Life - Bombay (CLO-1) Clothing | ColorFlex,Tree Of Life clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,tree-of-life,1,./data/collections/bombay/layers/tree-of-life_layer-1_layer-1.jpg,24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-etawah,Etawah,<p>Etawah clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-etawah,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/etawah.jpg,1,Etawah clothing pattern thumbnail,Etawah - Bombay (CLO-1) Clothing | ColorFlex,Etawah clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,etawah,3,"./data/collections/bombay/layers/etawah_stems-&-leaves_layer-1.jpg,./data/collections/bombay/layers/etawah_flowers_layer-2.jpg,./data/collections/bombay/layers/etawah_berries_layer-3.jpg",24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-triben,Triben,<p>Triben clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-triben,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/triben.jpg,1,Triben clothing pattern thumbnail,Triben - Bombay (CLO-1) Clothing | ColorFlex,Triben clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,triben,1,./data/collections/bombay/layers/triben_layer-1_layer-1.jpg,24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-garhi,Garhi,<p>Garhi clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-garhi,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/garhi.jpg,1,Garhi clothing pattern thumbnail,Garhi - Bombay (CLO-1) Clothing | ColorFlex,Garhi clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,garhi,2,"./data/collections/bombay/layers/garhi_flower_layer-1.jpg,./data/collections/bombay/layers/garhi_trellis_layer-2.jpg",24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-loni,Loni,<p>Loni clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-loni,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/loni.jpg,1,Loni clothing pattern thumbnail,Loni - Bombay (CLO-1) Clothing | ColorFlex,Loni clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,loni,1,./data/collections/bombay/layers/loni_design_layer-1.jpg,24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-kitanelli,Kitanelli,<p>Kitanelli clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-kitanelli,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/kitanelli.jpg,1,Kitanelli clothing pattern thumbnail,Kitanelli - Bombay (CLO-1) Clothing | ColorFlex,Kitanelli clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,kitanelli,1,./data/collections/bombay/layers/kitanelli_vines_layer-1.jpg,24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-zamara-desert-birds,Zamara Desert Birds,<p>Zamara Desert Birds clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-zamara-desert-birds,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/zamara-desert-birds.jpg,1,Zamara Desert Birds clothing pattern thumbnail,Zamara Desert Birds - Bombay (CLO-1) Clothing | ColorFlex,Zamara Desert Birds clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,zamara-desert-birds,1,./data/collections/bombay/layers/zamara-desert-birds_design_layer-1.jpg,24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-raipur,Raipur,<p>Raipur clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-raipur,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/raipur.jpg,1,Raipur clothing pattern thumbnail,Raipur - Bombay (CLO-1) Clothing | ColorFlex,Raipur clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,raipur,2,"./data/collections/bombay/layers/raipur_pomegrannet-trellis_layer-1.jpg,./data/collections/bombay/layers/raipur_pomegrannet-trellis_layer-2.jpg",24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-balalore,Balalore,<p>Balalore clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-balalore,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/balalore.jpg,1,Balalore clothing pattern thumbnail,Balalore - Bombay (CLO-1) Clothing | ColorFlex,Balalore clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,balalore,2,"./data/collections/bombay/layers/balalore_flowers_layer-1.jpg,./data/collections/bombay/layers/balalore_lattice_layer-2.jpg",24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-diamond-harbour,Diamond Harbour,<p>Diamond Harbour clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-diamond-harbour,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/diamond-harbour.jpg,1,Diamond Harbour clothing pattern thumbnail,Diamond Harbour - Bombay (CLO-1) Clothing | ColorFlex,Diamond Harbour clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,diamond-harbour,4,"./data/collections/bombay/layers/diamond-harbour_layer-1_layer-1.jpg,./data/collections/bombay/layers/diamond-harbour_heart_layer-2.jpg,./data/collections/bombay/layers/diamond-harbour_outside-vine_layer-3.jpg,./data/collections/bombay/layers/diamond-harbour_sprig_layer-4.jpg",24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-harchandi,Harchandi,<p>Harchandi clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-harchandi,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/harchandi.jpg,1,Harchandi clothing pattern thumbnail,Harchandi - Bombay (CLO-1) Clothing | ColorFlex,Harchandi clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,harchandi,1,./data/collections/bombay/layers/harchandi_design_layer-1.jpg,24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-morena,Morena,<p>Morena clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-morena,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/morena.jpg,1,Morena clothing pattern thumbnail,Morena - Bombay (CLO-1) Clothing | ColorFlex,Morena clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,morena,2,"./data/collections/bombay/layers/morena_central-pattern_layer-1.jpg,./data/collections/bombay/layers/morena_diamond-vine_layer-2.jpg",24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
bombay-clo-1-darjeeling,Darjeeling,<p>Darjeeling clothing pattern from Bombay (CLO-1) collection. Customize colors to match your style with our ColorFlex system.</p>,Saffron Cottage,Apparel & Accessories > Clothing,Clothing,"Bombay (CLO-1), pattern, clothing, custom-color, colorflex",TRUE,Size,One Size,bombay-clo-1-darjeeling,89.99,,TRUE,TRUE,,,continue,,https://so-animation.com/colorflex/data/collections/bombay/thumbnails/darjeeling.jpg,1,Darjeeling clothing pattern thumbnail,Darjeeling - Bombay (CLO-1) Clothing | ColorFlex,Darjeeling clothing pattern from Bombay (CLO-1). Customize colors with ColorFlex.,https://so-animation.com/colorflex/data/collections/,bombay.clo-1,darjeeling,2,"./data/collections/bombay/layers/darjeeling_flowers_layer-1.jpg,./data/collections/bombay/layers/darjeeling_leaves_layer-2.jpg",24x24,straight,"SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE"
